reviewId,content,score
13a29470-2197-4d26-bb66-88897ff33ed5,THERE'S ALWAYS A PROBLEM TO THIS MF APP!!!,1
3efb7bc2-2976-4dc6-8c9d-17cf79d1e25d,Nice app,5
8f342cf5-edb4-40c9-ac92-31c4e3d07259,This messenger very important for the people to help and a communication each other,5
35474009-2204-4e57-b137-82e9ff92269e,Constantly getting repeated notifications for messages I have already read,3
959fcbc9-b4df-4280-9b67-7a01375715b7,Nice,5
7b2ed9d0-fafc-4f3e-b29c-afb0ce83c207,im happy,5
edb48022-19cb-4a19-acde-d6a9c3d7a6ab,very useful,4
68bf2ef5-45bd-480c-a347-ed2e45bface5,Nice,5
5e0ce748-bec1-45ec-b56f-93bbf6da1852,I cannot open my messenger. I cannot send message to my friends and also I cannot see their replies,5
96869a63-1fb8-4465-98ce-4baf45f23f06,Of course it updated and now i can't send videos of pictures. This never ends. You fix this for a few weeks than boom its broken again. Everyone in my groups in the same boat. We get them a day later. Quailty app my lizardman,1
ce6cbdb9-e48c-4cf3-b59b-ed22914e5c44,"My experiences with this app the last few years, have been terrible. I won't get into all the details right now, but I just have one question for somebody who is in charge of all this. If I am such a bad person, and I deserve everything that I have gotten on here, by everybody on here, then why haven't I been banned or permanently suspended from Facebook, Messenger, and other social media websites and apps? I don't understand. It doesn't make any sense to me.",1
a4828f48-6e75-4864-b2ee-b398ae521eb5,the new update was sucks I've Got many errors especially to end to end encryption my messages always Got deleted,1
e1e5ff63-1e92-49d0-b007-a805b7a8ad7b,My Facebook messager is completely downloading already,5
d100cbe3-77c7-49ed-9872-160c9a241438,"It's literally not opening , I reinstalled it more than 10 times still it's not even opening",1
ab657a36-dfe1-4658-a3a1-05e4373273bc,"I cannot install or uninstall my messenger so please help me,,,",1
997db885-2de6-450a-95f8-180370de68c1,"Recently started closing when I switch apps. Example: open message, switch app, open recent apps to go back to same message, app is not there, so I have to go back home, open it again, then find and open the message I'm looking for",4
07e2b0e0-ba2c-476d-a4f9-01d12072bcfd,Best,5
999a53f0-44a7-4d2e-9c18-991bbe35d219,Can I take you on a date?,5
20078066-9076-4ea9-8aea-a54cdac54663,Good,5
d54aaad7-d030-46d6-8246-544c43eebd28,Supposed too much,5
5df034b6-4438-469d-8952-c41db0399be6,Okay,3
8458c974-cdb4-42e8-89f8-ae06e0465c2c,"The forced update of e2e has been destroying chat experience. Sending stickers are glitched out where a problem message will be displayed instead of sending out the sticker. Not to mention that emojis randomly inflate by themselves. The quality of the app has been constantly decreasing ever since they ""upgraded"" to enhance security.",1
c9194a41-0368-4f1c-ac30-914f6166095b,I love this app,5
9c311367-93d5-412c-bbf7-d7aff364d06b,please remove the end-to-end encryption,1
0e8de1c3-1f33-445e-ab8b-9d5f8e59b4bc,Goood job apps,5
348f7a5f-1fb7-403b-a2dc-b63f4ccffe92,Good,2
e7c54f74-4ce0-4164-811d-6bc87dd17149,Good,5
c5a0d618-ca8e-445d-83a7-b687296352a7,Good,5
11ed99b4-c7bd-4621-8858-31cdf6049576,💚💚,5
b55469b2-4d88-48dd-8856-a6e7cf5eb29e,Amazing,5
2d84c0ff-0a87-4885-91cc-f49319605e17,Good,5
ec65b671-9717-4718-b18a-4f4596c039aa,Works great,5
8c5c931f-5e0e-4358-9b34-9e189a10060d,Superb,5
3ba656b7-b7a8-444f-9add-db63184d98b8,So much better,5
b3a583a1-3685-4580-ad96-f7a9e5bc6943,I dislike end to end encryption in this app and can't find how to undo it I am not tech savvy,5
a516c7c8-d7bb-410c-b6b4-76a1d0bb01ae,very good,5
7b78fe56-a99d-4d6d-8532-40d97058c9ea,Ok,5
53e003e8-7df5-4418-ad3a-da7a6a58ea1c,I don't have the latest version of messenger I didn't even have notes or the music in notes,2
f11fef17-b950-4a72-bfe6-5d74a7191010,Nice,5
8a9167a0-7ffd-498a-840a-d3aede509191,NiCe,5
cab2bc19-18a0-40e8-bc6b-46a328b7f7bf,Great quality/Price Amazing 👏 🤩 Even a nice Swimming 🏊‍♂️ pool,5
cadcd48c-4dd5-48fb-9809-a820f0590173,I'm online affiliated marketing services based in aimglobal company Philippines world 🌍 wide business and y,5
f13f11af-cd7f-4720-9b9d-32743915f91f,How many people are active on Messenger can't be seen now. The previous model was good,1
6a30396c-8be3-4b8c-8612-ab881523f970,Sadam apostol,5
c86bcf2f-0759-4bdf-89af-4a0ce76fc2d5,Good service available,5
93274f6d-5971-4664-9818-97270cf30a25,Very good i like 🌹,5
091d536a-c8b3-47f9-93e9-5d02f3d784a8,I have many problems,1
bb296cc7-cf58-4c12-a456-35db2189753e,Good,5
0d45c564-982f-43e8-81c9-68d4b3ee06e4,Very great,5
2b5233d4-854b-4067-81de-2ed401c5861c,i am happy thank you to all followers,5
5767fb57-ee7f-4722-8c7c-7d8295e00d72,👍👍👍,5
75adbd5e-8d49-402c-aa5e-38185277848d,"I like it, however I'm getting double notifications, one from chat and one on Facebook....it's annoying 😒",3
b9c83952-fa00-43dd-8f5d-65037f63e97a,It's Good,5
4f87b358-938d-4aa3-9875-4f6990c0073b,Good,5
a6fd0546-0f54-421b-b20e-2b8ca0e064a3,From worst to worst now the app won't open at all,1
6845c8a1-2d2e-4c21-b1d3-d796c89f20b3,Fine ang good by.,5
adaf4d16-b0dc-4a6e-8432-db373bf6d378,Good,5
2eb9694e-be2d-403a-aeef-7f64b6ee7556,So irritating especially the end to end encrypted once you uninstall and install again the past messages was gone 🫤,1
70e6708c-6136-434f-a37d-ae6555f4a02d,Thanks you so much for having this app is the best of the best one,4
c334c387-3396-4942-9c83-b64101af09a3,Nicee.,5
2fc856d6-9c15-4efd-900f-591dfc066d55,Very Good Thanking you for asking,5
552f6768-5fe1-46dc-b801-b6ebd00428cf,thank you very much.,5
c6416e76-1dbd-47cd-95f6-e0ce877ef3fa,Good apps,5
07fc59c5-9371-4c7b-8e23-bf59c6209735,"""Waiting for this message. This might take a while"" Stupid apps",1
4e973e7e-f2d8-4ffa-a1fb-8791bab4604f,very good,5
017aa3a3-b472-4a17-89a6-f32bf0e48afe,Good this is very very good for me,5
35e0dae7-c820-41d2-976d-5398f97ff876,Removed along with ability to send notifications to Facebook. Horrendously intrusive.,1
25726a63-ba8d-4c70-8135-a0e5c60d4b62,Nice,5
74ca2eb3-4b87-46f9-97b4-b822a437b3b0,im too confeused about what is happening to marble race. im being hypornating.,2
2aa6dd5c-225c-40b8-a848-1a955fb74c01,It was my first time her .😊 But I send 5 star t sign that was good to me this opportunity..🙏🙏🙏,5
0c2aa262-9e49-45dd-9b80-65f8cec9ee5a,Hell yeah love this app,5
743eb110-24cf-4cc9-8d23-b2fe8d58bc17,अतिउत्तम्।,5
d2f1daa2-b13e-45db-9d11-ae210bdfdb61,Links for vids close messenger and opens fb and you have to reopen messenger. Why did you make this worse?,1
39714c68-564e-4f6a-b132-8de81586cdb2,Awesomely wonderful,5
b2d2e706-1aeb-499b-9d7d-40f82aa17e35,Sometime i cant recieve the message on the right time,2
00bae879-16e6-4793-9db3-89760b58c7a1,Please,5
b870cbbb-4d12-4116-80b8-8690051e3c05,Nice,4
8ea47c1f-65f1-43dd-b887-4f3ad424a01b,Good,5
ea846a12-f634-460d-9121-ea99b93da6b2,Very good,5
35c255be-3e1c-49f7-80fe-cc97786a5f94,Love you,5
2a03fd0b-7c8a-4cb6-95f9-e756bdb6e9c0,Gusto ko Yung app nato dahil dito naka usap ko Yung mga family ko at kaibigan ko,5
17ea7456-a79c-4c04-a121-e27485bd7c9f,"IMO the best all-around app, a gotta have.",5
ec2ec4d5-35b9-4b90-a4bd-3d3f7e5162c5,Nice or osam hai looking for you,3
df34f22c-65a0-4dc8-af95-62b05a9667fb,"Messenger. Been using this app for ages, does it's thing, but please fix the search in conversion thing doesn't let me see anything past 2024 and I haven't deleted any old messages. Thanx",3
7961c88a-1d19-48b7-a63c-5f8b586fdd6e,It's ok,4
65fc10a5-8b18-4b89-a9bf-6d71aeb76a81,i hate this app so much this app have many problems why i can't send voice someone to another one what does that mean???????????????!!!,1
50ac7dc0-97a4-49a7-bf26-d3089d252625,Monika dayaram dhuve,5
1781a309-87a0-4869-b197-7084d731d3b8,Nice,1
36dd70b4-e6df-4f36-bb2a-5c32ed40c4cf,General work,5
e227b15d-d82c-4fe9-be3c-9593876e78ce,Love it . Has saved my life a thousand times,5
251f55bc-2665-44c6-910c-f2fa67f26c5c,For some reason it won't let me send gifs. It says it is not possible yet even though it used to work fine. Can't send gifs? Seriously? Come on man,1
def3363a-68bc-4717-867b-97fc713a4489,"Whenever I call my girlfriend the video goes green and I can't see her face, why is that? It's always like that I tried uninstalling then install it again but it's always the same",1
d8870199-2611-4325-8081-a91639722c2e,Very nice,4
2fc84c0b-cd9d-49d5-8c16-03dd5d64a37c,"It's great, does what I need it too 👍 👍",5
b1612f5e-53e2-40ca-ad34-01f14a3d7894,"Wala,, 24",3
2cfdd4c5-b0d5-4150-8fc9-b3f7e077de55,thanks it's a great app,5
a26e827c-7a65-450b-8616-9fcb6947fcee,"Open may tex mess, pleas,",5
d1c28b83-77d8-427d-8abe-3ee9531e7a09,Amazing,4
1a52978b-9700-40fc-9d9f-ac21ffc24e3c,নাইছ😍,5
7dc55369-ef4a-4275-9073-949825902adb,Improve your performance 👌,5
08649d06-2da0-4aa1-a8c8-73ffac02c333,Good,5
23901e45-7224-4f33-8459-26f4952bf3fa,Ok,5
93b963db-4176-4145-b6ff-8b2e0ad47e5c,Good,5
3e06cd78-5d7d-4713-8aaf-de3ed0c9d0e9,its very nice,5
8894a888-cca9-4062-8ad2-556444723d18,So good,5
a3c6bb75-b90e-4fa8-a08d-d8a64bf1e834,Absolutely experience,5
2f5ac9c1-a78e-4be4-b15e-54f41ac24ab8,one of my main sources of connection to my family and friends. I know their phone numbers because we always talk to each other on messenger as you can connect with anyone around the world as long as they have messenger.,5
34dfc864-b6e2-465d-98ca-8cf2522fecfd,Very nice 👍,5
f37f8d76-dafc-46f2-89e3-9101774bc9ab,I want to showy grace I want a nice 2 bedroom house I'm 67 and want to show hoested And ot one my agostosty and rom casual you qmm of old,5
e9d0e8df-6d2f-492d-91dd-203870751720,They suspended my account for no reason..can you help me get it back on,1
